#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 9.99999975e-06 774.607239 Lin-Lin
 1.10303699e-05 737.541626 Lin-Lin
 1.21669100e-05 702.249573 Lin-Lin
 1.34205502e-05 668.646301 Lin-Lin
 1.48033596e-05 636.651001 Lin-Lin
 1.63286495e-05 606.186707 Lin-Lin
 1.80111092e-05 577.180115 Lin-Lin
 1.98669095e-05 549.561523 Lin-Lin
 2.19139401e-05 523.264526 Lin-Lin
 2.41718899e-05 498.225861 Lin-Lin
 2.66624793e-05 474.385315 Lin-Lin
 2.94097099e-05 451.685577 Lin-Lin
 3.24399916e-05 430.072021 Lin-Lin
 3.57825083e-05 409.492676 Lin-Lin
 3.94694289e-05 389.898102 Lin-Lin
 4.35362417e-05 371.241119 Lin-Lin
 4.80220806e-05 353.476898 Lin-Lin
 5.29701283e-05 336.562714 Lin-Lin
 5.84280097e-05 320.457886 Lin-Lin
 6.44482498e-05 305.123718 Lin-Lin
 7.10888125e-05 290.523254 Lin-Lin
 7.84135773e-05 276.621460 Lin-Lin
 8.64930771e-05 263.384888 Lin-Lin
 9.54050629e-05 250.781677 Lin-Lin
 1.05235304e-04 238.781555 Lin-Lin
 1.16078401e-04 227.355637 Lin-Lin
 1.28038795e-04 216.476471 Lin-Lin
 1.41231503e-04 206.117874 Lin-Lin
 1.55783593e-04 196.254959 Lin-Lin
 1.71835098e-04 186.863968 Lin-Lin
 1.89540398e-04 177.922363 Lin-Lin
 2.09070102e-04 169.408615 Lin-Lin
 2.30612000e-04 161.302261 Lin-Lin
 2.54373590e-04 153.583801 Lin-Lin
 2.80583510e-04 146.234680 Lin-Lin
 3.09493887e-04 139.237213 Lin-Lin
 3.41383187e-04 132.574585 Lin-Lin
 3.76558310e-04 126.230766 Lin-Lin
 4.15357703e-04 120.190506 Lin-Lin
 4.58154886e-04 114.439278 Lin-Lin
 5.05361822e-04 108.963249 Lin-Lin
 5.57432824e-04 103.749260 Lin-Lin
 6.14868884e-04 98.784760 Lin-Lin
 6.78223209e-04 94.057808 Lin-Lin
